
2017-01-31 09:55:00,	normal, 	0,	 -5.9℃	+0.00[kg/m^2]  -> 7.908[kg/m^2]
2017-01-31 09:58:00,	normal, 	0,	 -5.9℃	+0.00[kg/m^2]  -> 7.908[kg/m^2]
2017-01-31 10:01:00,	normal, 	0,	 -5.7℃	+0.00[kg/m^2]  -> 7.908[kg/m^2]
2017-01-31 10:04:00,	normal, 	0,	 -5.7℃	+0.00[kg/m^2]  -> 7.908[kg/m^2]
2017-01-31 10:07:00,	normal, 	0,	 -5.7℃	+0.00[kg/m^2]  -> 7.908[kg/m^2]
2017-01-31 10:10:00,	random, 	1,	 -5.5℃	+0.00[kg/m^2]  -> 7.908[kg/m^2]
2017-01-31 10:13:00,	normal, 	0,	 -5.5℃	+0.00[kg/m^2]  -> 7.878[kg/m^2]
2017-01-31 10:16:00,	normal, 	0,	 -5.5℃	+0.00[kg/m^2]  -> 7.866[kg/m^2]
2017-01-31 10:19:00,	normal, 	0,	 -5.5℃	+0.00[kg/m^2]  -> 7.860[kg/m^2]
2017-01-31 10:22:00,	normal, 	0,	 -5.1℃	+0.00[kg/m^2]  -> 7.858[kg/m^2]
2017-01-31 10:25:00,	random, 	0,	 -5.1℃	+0.00[kg/m^2]  -> 7.857[kg/m^2]
2017-01-31 10:28:00,	normal, 	0,	 -5.1℃	+0.00[kg/m^2]  -> 7.857[kg/m^2]
2017-01-31 10:31:00,	normal, 	0,	 -4.8℃	+0.00[kg/m^2]  -> 7.857[kg/m^2]
2017-01-31 10:34:00,	normal, 	0,	 -4.8℃	+0.00[kg/m^2]  -> 7.856[kg/m^2]
2017-01-31 10:37:00,	normal, 	0,	 -4.8℃	+0.00[kg/m^2]  -> 7.856[kg/m^2]
2017-01-31 10:40:00,	normal, 	0,	 -5.0℃	+0.00[kg/m^2]  -> 7.856[kg/m^2]
2017-01-31 10:43:00,	normal, 	0,	 -5.0℃	+0.00[kg/m^2]  -> 7.856[kg/m^2]
2017-01-31 10:46:00,	normal, 	0,	 -5.0℃	+0.00[kg/m^2]  -> 7.856[kg/m^2]
2017-01-31 10:49:00,	normal, 	0,	 -5.0℃	+0.00[kg/m^2]  -> 7.856[kg/m^2]
2017-01-31 10:52:00,	normal, 	0,	 -4.7℃	+0.00[kg/m^2]  -> 7.856[kg/m^2]
2017-01-31 10:55:00,	normal, 	0,	
[[ 61.29628   0.        0.       17.85445   0.     ]
 [ 30.86067   0.        0.        6.93848   0.     ]]
