
2017-01-31 07:10:00,	normal, 	0,	 -6.5℃	+0.08[kg/m^2]  -> 4.072[kg/m^2]
2017-01-31 07:13:00,	normal, 	0,	 -6.5℃	+0.08[kg/m^2]  -> 4.149[kg/m^2]
2017-01-31 07:16:00,	normal, 	0,	 -6.5℃	+0.08[kg/m^2]  -> 4.227[kg/m^2]
2017-01-31 07:19:00,	random, 	1,	 -6.5℃	+0.08[kg/m^2]  -> 4.305[kg/m^2]
2017-01-31 07:22:00,	normal, 	0,	 -6.6℃	+0.08[kg/m^2]  -> 4.354[kg/m^2]
2017-01-31 07:25:00,	normal, 	0,	 -6.6℃	+0.08[kg/m^2]  -> 4.419[kg/m^2]
2017-01-31 07:28:00,	normal, 	0,	 -6.6℃	+0.08[kg/m^2]  -> 4.492[kg/m^2]
2017-01-31 07:31:00,	random, 	0,	 -6.7℃	+0.08[kg/m^2]  -> 4.568[kg/m^2]
2017-01-31 07:34:00,	normal, 	0,	 -6.7℃	+0.08[kg/m^2]  -> 4.645[kg/m^2]
2017-01-31 07:37:00,	normal, 	0,	 -6.7℃	+0.08[kg/m^2]  -> 4.722[kg/m^2]
2017-01-31 07:40:00,	normal, 	0,	 -6.7℃	+0.08[kg/m^2]  -> 4.800[kg/m^2]
2017-01-31 07:43:00,	normal, 	0,	 -6.7℃	+0.08[kg/m^2]  -> 4.878[kg/m^2]
2017-01-31 07:46:00,	random, 	0,	 -6.7℃	+0.08[kg/m^2]  -> 4.956[kg/m^2]
2017-01-31 07:49:00,	normal, 	0,	 -6.7℃	+0.08[kg/m^2]  -> 5.034[kg/m^2]
2017-01-31 07:52:00,	normal, 	0,	 -7.3℃	+0.08[kg/m^2]  -> 5.112[kg/m^2]
2017-01-31 07:55:00,	random, 	1,	 -7.3℃	+0.08[kg/m^2]  -> 5.190[kg/m^2]
2017-01-31 07:58:00,	normal, 	0,	 -7.3℃	+0.08[kg/m^2]  -> 5.238[kg/m^2]
2017-01-31 08:01:00,	normal, 	0,	 -7.7℃	+0.08[kg/m^2]  -> 5.304[kg/m^2]
2017-01-31 08:04:00,	normal, 	0,	 -7.7℃	+0.08[kg/m^2]  -> 5.377[kg/m^2]
2017-01-31 08:07:00,	normal, 	0,	 -7.7℃	+0.08[kg/m^2]  -> 5.452[kg/m^2]
2017-01-31 08:10:00,	normal, 	0,	 -7.5℃	+0.08[kg/m^2]  -> 5.529[kg/m^2]
2017-01-31 08:13:00,	random, 	1,	 -7.5℃	+0.08[kg/m^2]  -> 5.607[kg/m^2]
2017-01-31 08:16:00,	normal, 	0,	 -7.5℃	+0.08[kg/m^2]  -> 5.655[kg/m^2]
2017-01-31 08:19:00,	normal, 	0,	 -7.5℃	+0.08[kg/m^2]  -> 5.721[kg/m^2]
2017-01-31 08:22:00,	normal, 	0,	 -7.3℃	+0.08[kg/m^2]  -> 5.793[kg/m^2]
2017-01-31 08:25:00,	normal, 	0,	 -7.3℃	+0.08[kg/m^2]  -> 5.869[kg/m^2]
2017-01-31 08:28:00,	normal, 	0,	 -7.3℃	+0.08[kg/m^2]  -> 5.946[kg/m^2]
2017-01-31 08:31:00,	normal, 	0,	 -7.0℃	+0.08[kg/m^2]  -> 6.024[kg/m^2]
2017-01-31 08:34:00,	normal, 	0,	 -7.0℃	+0.08[kg/m^2]  -> 6.102[kg/m^2]
2017-01-31 08:37:00,	normal, 	0,	 -7.0℃	+0.08[kg/m^2]  -> 6.180[kg/m^2]
2017-01-31 08:40:00,	normal, 	0,	 -6.7℃	+0.08[kg/m^2]  -> 6.258[kg/m^2]
2017-01-31 08:43:00,	normal, 	0,	 -6.7℃	+0.08[kg/m^2]  -> 6.336[kg/m^2]
2017-01-31 08:46:00,	normal, 	0,	 -6.7℃	+0.08[kg/m^2]  -> 6.414[kg/m^2]
2017-01-31 08:49:00,	normal, 	0,	 -6.7℃	+0.08[kg/m^2]  -> 6.492[kg/m^2]
2017-01-31 08:52:00,	normal, 	0,	 -6.6℃	+0.08[kg/m^2]  -> 6.570[kg/m^2]
2017-01-31 08:55:00,	normal, 	0,	 -6.6℃	+0.08[kg/m^2]  -> 6.648[kg/m^2]
2017-01-31 08:58:00,	normal, 	0,	 -6.6℃	+0.08[kg/m^2]  -> 6.726[kg/m^2]
2017-01-31 09:01:00,	normal, 	0,	 -6.4℃	+0.08[kg/m^2]  -> 6.804[kg/m^2]
2017-01-31 09:04:00,	random, 	1,	 -6.4℃	+0.08[kg/m^2]  -> 6.882[kg/m^2]
2017-01-31 09:07:00,	normal, 	0,	 -6.4℃	+0.08[kg/m^2]  -> 6.930[kg/m^2]
2017-01-31 09:10:00,	random, 	0,	 -6.3℃	+0.08[kg/m^2]  -> 6.995[kg/m^2]
2017-01-31 09:13:00,	normal, 	0,	 -6.3℃	+0.08[kg/m^2]  -> 7.068[kg/m^2]
2017-01-31 09:16:00,	normal, 	0,	 -6.3℃	+0.08[kg/m^2]  -> 7.144[kg/m^2]
2017-01-31 09:19:00,	normal, 	0,	 -6.3℃	+0.08[kg/m^2]  -> 7.221[kg/m^2]
2017-01-31 09:22:00,	random, 	1,	 -6.1℃	+0.08[kg/m^2]  -> 7.298[kg/m^2]
2017-01-31 09:25:00,	normal, 	0,	 -6.1℃	+0.08[kg/m^2]  -> 7.346[kg/m^2]
2017-01-31 09:28:00,	normal, 	0,	 -6.1℃	+0.08[kg/m^2]  -> 7.412[kg/m^2]
2017-01-31 09:31:00,	normal, 	0,	 -6.2℃	+0.08[kg/m^2]  -> 7.485[kg/m^2]
2017-01-31 09:34:00,	normal, 	0,	 -6.2℃	+0.08[kg/m^2]  -> 7.560[kg/m^2]
2017-01-31 09:37:00,	normal, 	0,	 -6.2℃	+0.08[kg/m^2]  -> 7.637[kg/m^2]
2017-01-31 09:40:00,	normal, 	0,	 -6.0℃	+0.00[kg/m^2]  -> 7.637[kg/m^2]
2017-01-31 09:43:00,	random, 	0,	 -6.0℃	+0.00[kg/m^2]  -> 7.637[kg/m^2]
2017-01-31 09:46:00,	normal, 	0,	 -6.0℃	+0.00[kg/m^2]  -> 7.637[kg/m^2]
2017-01-31 09:49:00,	normal, 	0,	 -6.0℃	+0.00[kg/m^2]  -> 7.637[kg/m^2]
2017-01-31 09:52:00,	random, 	0,	 -5.9℃	+0.00[kg/m^2]  -> 7.637[kg/m^2]
2017-01-31 09:55:00,	normal, 	0,	 -5.9℃	+0.00[kg/m^2]  -> 7.637[kg/m^2]
2017-01-31 09:58:00,	normal, 	0,	 -5.9℃	+0.00[kg/m^2]  -> 7.637[kg/m^2]
2017-01-31 10:01:00,	normal, 	0,	 -5.7℃	+0.00[kg/m^2]  -> 7.637[kg/m^2]
2017-01-31 10:04:00,	random, 	0,	 -5.7℃	+0.00[kg/m^2]  -> 7.637[kg/m^2]
2017-01-31 10:07:00,	normal, 	0,	 -5.7℃	+0.00[kg/m^2]  -> 7.637[kg/m^2]
2017-01-31 10:10:00,	random, 	1,	 -5.5℃	+0.00[kg/m^2]  -> 7.637[kg/m^2]
2017-01-31 10:13:00,	normal, 	0,	 -5.5℃	+0.00[kg/m^2]  -> 7.607[kg/m^2]
2017-01-31 10:16:00,	normal, 	0,	 -5.5℃	+0.00[kg/m^2]  -> 7.594[kg/m^2]
2017-01-31 10:19:00,	normal, 	0,	 -5.5℃	+0.00[kg/m^2]  -> 7.589[kg/m^2]
2017-01-31 10:22:00,	normal, 	0,	 -5.1℃	+0.00[kg/m^2]  -> 7.587[kg/m^2]
2017-01-31 10:25:00,	random, 	0,	 -5.1℃	+0.00[kg/m^2]  -> 7.586[kg/m^2]
2017-01-31 10:28:00,	normal, 	0,	 -5.1℃	+0.00[kg/m^2]  -> 7.586[kg/m^2]
2017-01-31 10:31:00,	normal, 	0,	 -4.8℃	+0.00[kg/m^2]  -> 7.585[kg/m^2]
2017-01-31 10:34:00,	normal, 	0,	 -4.8℃	+0.00[kg/m^2]  -> 7.585[kg/m^2]
2017-01-31 10:37:00,	normal, 	0,	 -4.8℃	+0.00[kg/m^2]  -> 7.585[kg/m^2]
2017-01-31 10:40:00,	normal, 	0,	 -5.0℃	+0.00[kg/m^2]  -> 7.585[kg/m^2]
2017-01-31 10:43:00,	random, 	1,	 -5.0℃	+0.00[kg/m^2]  -> 7.585[kg/m^2]
2017-01-31 10:46:00,	normal, 	0,	 -5.0℃	+0.00[kg/m^2]  -> 7.556[kg/m^2]
2017-01-31 10:49:00,	normal, 	0,	 -5.0℃	+0.00[kg/m^2]  -> 7.543[kg/m^2]
2017-01-31 10:52:00,	normal, 	0,	 -4.7℃	+0.00[kg/m^2]  -> 7.538[kg/m^2]
2017-01-31 10:55:00,	normal, 	0,	 -4.7℃	+0.00[kg/m^2]  -> 7.535[kg/m^2]
2017-01-31 10:58:00,	normal, 	0,	 -4.7℃	+0.00[kg/m^2]  -> 7.535[kg/m^2]
2017-01-31 11:01:00,	normal, 	0,	 -3.4℃	+0.00[kg/m^2]  -> 7.534[kg/m^2]
2017-01-31 11:04:00,	normal, 	0,	 -3.4℃	+0.00[kg/m^2]  -> 7.534[kg/m^2]
2017-01-31 11:07:00,	random, 	1,	 -3.4℃	+0.00[kg/m^2]  -> 7.534[kg/m^2]
2017-01-31 11:10:00,	normal, 	0,	 -3.3℃	+0.00[kg/m^2]  -> 7.504[kg/m^2]
2017-01-31 11:13:00,	normal, 	0,	 -3.3℃	+0.00[kg/m^2]  -> 7.492[kg/m^2]
2017-01-31 11:16:00,	normal, 	0,	 -3.3℃	+0.00[kg/m^2]  -> 7.486[kg/m^2]
2017-01-31 11:19:00,	random, 	1,	 -3.3℃	+0.00[kg/m^2]  -> 7.484[kg/m^2]
2017-01-31 11:22:00,	normal, 	0,	 -3.8℃	+0.00[kg/m^2]  -> 7.453[kg/m^2]
2017-01-31 11:25:00,	normal, 	0,	 -3.8℃	+0.00[kg/m^2]  -> 7.440[kg/m^2]
2017-01-31 11:28:00,	normal, 	0,	 -3.8℃	+0.00[kg/m^2]  -> 7.435[kg/m^2]
2017-01-31 11:31:00,	normal, 	0,	 -3.4℃	+0.00[kg/m^2]  -> 7.433[kg/m^2]
2017-01-31 11:34:00,	normal, 	0,	 -3.4℃	+0.00[kg/m^2]  -> 7.432[kg/m^2]
2017-01-31 11:37:00,	random, 	0,	 -3.4℃	+0.00[kg/m^2]  -> 7.431[kg/m^2]
2017-01-31 11:40:00,	normal, 	0,	 -3.1℃	+0.00[kg/m^2]  -> 7.431[kg/m^2]
2017-01-31 11:43:00,	normal, 	0,	 -3.1℃	+0.00[kg/m^2]  -> 7.431[kg/m^2]
2017-01-31 11:46:00,	normal, 	0,	 -3.1℃	+0.00[kg/m^2]  -> 7.431[kg/m^2]
2017-01-31 11:49:00,	normal, 	0,	 -3.1℃	+0.00[kg/m^2]  -> 7.431[kg/m^2]
2017-01-31 11:52:00,	normal, 	0,	 -3.3℃	+0.00[kg/m^2]  -> 7.431[kg/m^2]
2017-01-31 11:55:00,	normal, 	0,	 -3.3℃	+0.00[kg/m^2]  -> 7.431[kg/m^2]
