date, temperature, precipitation, snow accumulate, switch
----- day 1 -----
2017-01-28 11:49:00, -4.6, 0.004, 0.0437116422635, off
2017-01-28 11:49:30, -4.6, 0.004, 0.0416525029542, off
2017-01-28 11:50:00, -4.6, 0.004, 0.0411127538363, off
2017-01-28 11:50:30, -4.5, 0.004, 0.0415213016636, off
2017-01-28 11:51:00, -4.5, 0.004, 0.0425255800375, off
2017-01-28 11:51:30, -4.5, 0.004, 0.0439028911109, off
2017-01-28 11:52:00, -4.5, 0.004, 0.0455137921088, off
2017-01-28 11:52:30, -4.5, 0.004, 0.0472709705795, off
2017-01-28 11:53:00, -4.5, 0.004, 0.0491197555738, off
2017-01-28 11:53:30, -4.5, 0.004, 0.0510259146828, off
2017-01-28 11:54:00, -4.5, 0.004, 0.0529680131292, on
2017-01-28 11:54:30, -4.5, 0.004, 0.0517239204059, on
2017-01-28 11:55:00, -4.5, 0.004, 0.0484847993906, on
2017-01-28 11:55:30, -4.5, 0.004, 0.0439964989609, off
2017-01-28 11:56:00, -4.5, 0.004, 0.0419347427719, off
2017-01-28 11:56:30, -4.5, 0.004, 0.0413923859714, off
2017-01-28 11:57:00, -4.5, 0.004, 0.0418014179945, off
2017-01-28 11:57:30, -4.5, 0.004, 0.0428061778571, off
2017-01-28 11:58:00, -4.5, 0.004, 0.0441839676711, off
2017-01-28 11:58:30, -4.5, 0.004, 0.0457953446456, off
2017-01-28 11:59:00, -4.5, 0.004, 0.0475529963284, off
2017-01-28 11:59:30, -4.5, 0.004, 0.0494022517797, off
2017-01-28 12:00:00, -4.5, 0.004, 0.0513088786053, off
2017-01-28 12:00:30, -4.3, 0.004, 0.0532752145097, on
2017-01-28 12:01:00, -4.3, 0.004, 0.0520554288104, on
2017-01-28 12:01:30, -4.3, 0.004, 0.0488140176333, on
2017-01-28 12:02:00, -4.3, 0.004, 0.0443234342025, off
2017-01-28 12:02:30, -4.3, 0.004, 0.0422594015384, off
2017-01-28 12:03:00, -4.3, 0.004, 0.0417147759104, off
2017-01-28 12:03:30, -4.3, 0.004, 0.042121547425, off
2017-01-28 12:04:00, -4.3, 0.004, 0.0431240554891, off
2017-01-28 12:04:30, -4.3, 0.004, 0.0444996024311, off
2017-01-28 12:05:00, -4.3, 0.004, 0.0461087455687, off
2017-01-28 12:05:30, -4.3, 0.004, 0.0478641724913, off
2017-01-28 12:06:00, -4.3, 0.004, 0.0497112122591, off
2017-01-28 12:06:30, -4.3, 0.004, 0.0516156324529, off
2017-01-28 12:07:00, -4.3, 0.004, 0.053555998273, on
2017-01-28 12:07:30, -4.3, 0.004, 0.0523101791829, on
2017-01-28 12:08:00, -4.3, 0.004, 0.0490693369415, on
2017-01-28 12:08:30, -4.3, 0.004, 0.0445793197285, off
2017-01-28 12:09:00, -4.3, 0.004, 0.0425158507618, off
2017-01-28 12:09:30, -4.3, 0.004, 0.0419717859815, off
2017-01-28 12:10:00, -4.3, 0.004, 0.0423791153013, off
2017-01-28 12:10:30, -4.3, 0.004, 0.0433825219461, off
2017-01-28 12:11:00, -4.3, 0.004, 0.0447589626777, off
2017-01-28 12:11:30, -4.3, 0.004, 0.0463689947696, off
2017-01-28 12:12:00, -4.3, 0.004, 0.0481253057981, off
2017-01-28 12:12:30, -4.3, 0.004, 0.0499732248293, off
2017-01-28 12:13:00, -4.3, 0.004, 0.0518785194613, off
2017-01-28 12:13:30, -4.3, 0.004, 0.0538197549193, on
2017-01-28 12:14:00, -4.3, 0.004, 0.0525748006952, on
2017-01-28 12:14:30, -4.3, 0.004, 0.0493348192252, on
2017-01-28 12:15:00, -4.3, 0.004, 0.0448456591139, off
2017-01-28 12:15:30, -4.3, 0.004, 0.0427830438472, off
2017-01-28 12:16:00, -4.3, 0.004, 0.0422398289024, off
2017-01-28 12:16:30, -4.3, 0.004, 0.0426480039181, off
2017-01-28 12:17:00, -4.3, 0.004, 0.0436519080348, off
2017-01-28 12:17:30, -4.3, 0.004, 0.0450288434397, off
2017-01-28 12:18:00, -4.3, 0.004, 0.0466393673867, off
2017-01-28 12:18:30, -4.3, 0.004, 0.0483961674494, off
2017-01-28 12:19:00, -4.3, 0.004, 0.0502445727019, off
2017-01-28 12:19:30, -4.3, 0.004, 0.0521503507563, on
