date, select, act, reward, temp,	pre[mm/min], on time[min], road temp, snow[kg/m^2]
2016-12-01 09:52:00, n, 0, 0.0006,   6.4,	0.003,  0.00, 43, +0.00 -> 0.000
2016-12-01 09:55:00, n, 0, 0.0006,   6.4,	0.003,  0.00, 42, +0.00 -> 0.000
2016-12-01 09:58:00, n, 0, 0.0006,   6.4,	0.003,  0.00, 40, +0.00 -> 0.000
2016-12-01 10:01:00, n, 0, 0.0006,   6.5,	0.003,  0.00, 39, +0.00 -> 0.000
2016-12-01 10:04:00, n, 0, 0.0006,   6.5,	0.003,  0.00, 38, +0.00 -> 0.000
2016-12-01 10:07:00, n, 0, 0.0006,   6.5,	0.003,  0.00, 36, +0.00 -> 0.000
2016-12-01 10:10:00, n, 0, 0.0006,   6.2,	0.003,  0.00, 35, +0.00 -> 0.000
2016-12-01 10:13:00, n, 0, 0.0006,   6.2,	0.003,  0.00, 34, +0.00 -> 0.000
2016-12-01 10:16:00, n, 0, 0.0006,   6.2,	0.003,  0.00, 33, +0.00 -> 0.000
2016-12-01 10:19:00, n, 0, 0.0006,   6.2,	0.003,  0.00, 32, +0.00 -> 0.000
2016-12-01 10:22:00, r, 0, 0.0006,   6.3,	0.003,  0.00, 31, +0.00 -> 0.000
2016-12-01 10:25:00, n, 0, 0.0006,   6.3,	0.003,  0.00, 30, +0.00 -> 0.000
2016-12-01 10:28:00, n, 0, 0.0006,   6.3,	0.003,  0.00, 29, +0.00 -> 0.000
2016-12-01 10:31:00, n, 0, 0.0006,   6.7,	0.003,  0.00, 29, +0.00 -> 0.000
2016-12-01 10:34:00, n, 0, 0.0006,   6.7,	0.003,  0.00, 28, +0.00 -> 0.000
2016-12-01 10:37:00, n, 0, 0.0006,   6.7,	0.003,  0.00, 27, +0.00 -> 0.000
2016-12-01 10:40:00, n, 1,   -0.3,   7.0,	0.003,  3.00, 36, +0.00 -> 0.000
2016-12-01 10:43:00, r, 1,   -0.3,   7.0,	0.003,  6.00, 45, +0.00 -> 0.000
2016-12-01 10:46:00, n, 0, 0.0006,   7.0,	0.003,  0.00, 43, +0.00 -> 0.000
2016-12-01 10:49:00, n, 0, 0.0006,   7.0,	0.003,  0.00, 42, +0.00 -> 0.000
2016-12-01 10:52:00, n, 0, 0.0006,   7.2,	0.003,  0.00, 40, +0.00 -> 0.000
2016-12-01 10:55:00, n, 0, 0.0006,   7.2,	0.003,  0.00, 39, +0.00 -> 0.000
2016-12-01 10:58:00, n, 0, 0.0006,   7.2,	0.003,  0.00, 38, +0.00 -> 0.000
2016-12-01 11:01:00, n, 0, 0.0006,   7.4,	0.003,  0.00, 36, +0.00 -> 0.000
2016-12-01 11:04:00, n, 0, 0.0006,   7.4,	0.003,  0.00, 35, +0.00 -> 0.000
2016-12-01 11:07:00, n, 0, 0.0006,   7.4,	0.003,  0.00, 34, +0.00 -> 0.000
2016-12-01 11:10:00, n, 0, 0.0006,   7.8,	0.003,  0.00, 33, +0.00 -> 0.000
2016-12-01 11:13:00, n, 0, 0.0006,   7.8,	0.003,  0.00, 32, +0.00 -> 0.000
2016-12-01 11:16:00, n, 0, 0.0006,   7.8,	0.003,  0.00, 31, +0.00 -> 0.000
2016-12-01 11:19:00, n, 0, 0.0006,   7.8,	0.003,  0.00, 30, +0.00 -> 0.000
2016-12-01 11:22:00, n, 0, 0.0006,   7.9,	0.003,  0.00, 29, +0.00 -> 0.000
2016-12-01 11:25:00, n, 0, 0.0006,   7.9,	0.003,  0.00, 28, +0.00 -> 0.000
2016-12-01 11:28:00, n, 0, 0.0006,   7.9,	0.003,  0.00, 27, +0.00 -> 0.000
2016-12-01 11:31:00, n, 0, 0.0006,   8.0,	0.003,  0.00, 26, +0.00 -> 0.000
2016-12-01 11:34:00, n, 0, 0.0006,   8.0,	0.003,  0.00, 25, +0.00 -> 0.000
2016-12-01 11:37:00, n, 0, 0.0006,   8.0,	0.003,  0.00, 25, +0.00 -> 0.000
2016-12-01 11:40:00, n, 0, 0.0006,   8.2,	0.003,  0.00, 24, +0.00 -> 0.000
2016-12-01 11:43:00, n, 0, 0.0006,   8.2,	0.003,  0.00, 23, +0.00 -> 0.000
2016-12-01 11:46:00, n, 0, 0.0006,   8.2,	0.003,  0.00, 23, +0.00 -> 0.000
2016-12-01 11:49:00, n, 0, 0.0006,   8.2,	0.003,  0.00, 22, +0.00 -> 0.000
2016-12-01 11:52:00, n, 0, 0.0006,   8.4,	0.003,  0.00, 22, +0.00 -> 0.000
2016-12-01 11:55:00, n, 1,   -0.3,   8.4,	0.003,  3.00, 31, +0.00 -> 0.000
2016-12-01 11:58:00, n, 0, 0.0006,   8.4,	0.003,  0.00, 30, +0.00 -> 0.000
2016-12-01 12:01:00, n, 0, 0.0006,   8.6,	0.003,  0.00, 29, +0.00 -> 0.000
2016-12-01 12:04:00, n, 0, 0.0006,   8.6,	0.003,  0.00, 28, +0.00 -> 0.000
2016-12-01 12:07:00, n, 0, 0.0006,   8.6,	0.003,  0.00, 27, +0.00 -> 0.000
2016-12-01 12:10:00, n, 0, 0.0006,   8.7,	0.003,  0.00, 27, +0.00 -> 0.000
2016-12-01 12:13:00, n, 0, 0.0006,   8.7,	0.003,  0.00, 26, +0.00 -> 0.000
2016-12-01 12:16:00, n, 0, 0.0006,   8.7,	0.003,  0.00, 25, +0.00 -> 0.000
2016-12-01 12:19:00, n, 0, 0.0006,   8.7,	0.003,  0.00, 24, +0.00 -> 0.000
2016-12-01 12:22:00, n, 0, 0.0006,   8.7,	0.003,  0.00, 24, +0.00 -> 0.000
2016-12-01 12:25:00, n, 0, 0.0006,   8.7,	0.003,  0.00, 23, +0.00 -> 0.000
2016-12-01 12:28:00, n, 0, 0.0006,   8.7,	0.003,  0.00, 22, +0.00 -> 0.000
2016-12-01 12:31:00, n, 0, 0.0006,   9.1,	0.003,  0.00, 22, +0.00 -> 0.000
2016-12-01 12:34:00, n, 1,   -0.3,   9.1,	0.003,  3.00, 31, +0.00 -> 0.000
2016-12-01 12:37:00, n, 0, 0.0006,   9.1,	0.003,  0.00, 30, +0.00 -> 0.000
2016-12-01 12:40:00, n, 0, 0.0006,   9.2,	0.003,  0.00, 29, +0.00 -> 0.000
2016-12-01 12:43:00, n, 0, 0.0006,   9.2,	0.003,  0.00, 28, +0.00 -> 0.000
2016-12-01 12:46:00, n, 0, 0.0006,   9.2,	0.003,  0.00, 27, +0.00 -> 0.000
2016-12-01 12:49:00, n, 0, 0.0006,   9.2,	0.003,  0.00, 27, +0.00 -> 0.000
2016-12-01 12:52:00, n, 0, 0.0006,   9.3,	0.003,  0.00, 26, +0.00 -> 0.000
2016-12-01 12:55:00, n, 0, 0.0006,   9.3,	0.003,  0.00, 25, +0.00 -> 0.000
