date, select, act, reward, temp,	pre[mm/min], on time[min], road temp, snow[kg/m^2]
2016-12-09 05:58:00, n, 0,    0.3,  -2.0,	0.000,  0.00, 68, +0.00 -> 0.000
2016-12-09 06:01:00, n, 0,    0.3,  -1.6,	0.000,  0.00, 67, +0.00 -> 0.000
2016-12-09 06:04:00, n, 0,    0.3,  -1.6,	0.000,  0.00, 65, +0.00 -> 0.000
2016-12-09 06:07:00, r, 1,   -0.3,  -1.6,	0.000,  3.00, 64, +0.00 -> 0.000
2016-12-09 06:10:00, n, 0,    0.3,  -1.9,	0.000,  0.00, 70, +0.00 -> 0.000
2016-12-09 06:13:00, n, 0,    0.3,  -1.9,	0.000,  0.00, 68, +0.00 -> 0.000
2016-12-09 06:16:00, n, 0,    0.3,  -1.9,	0.000,  0.00, 67, +0.00 -> 0.000
2016-12-09 06:19:00, n, 0,    0.3,  -1.9,	0.000,  0.00, 65, +0.00 -> 0.000
2016-12-09 06:22:00, n, 0,    0.3,  -1.7,	0.000,  0.00, 64, +0.00 -> 0.000
2016-12-09 06:25:00, n, 1,   -0.3,  -1.7,	0.000,  3.00, 62, +0.00 -> 0.000
2016-12-09 06:28:00, n, 0,    0.3,  -1.7,	0.000,  0.00, 70, +0.00 -> 0.000
2016-12-09 06:31:00, n, 0,    0.3,  -1.7,	0.000,  0.00, 68, +0.00 -> 0.000
2016-12-09 06:34:00, n, 0,    0.3,  -1.7,	0.000,  0.00, 66, +0.00 -> 0.000
2016-12-09 06:37:00, n, 0,    0.3,  -1.7,	0.000,  0.00, 65, +0.00 -> 0.000
2016-12-09 06:40:00, n, 0,    0.3,  -1.9,	0.000,  0.00, 63, +0.00 -> 0.000
2016-12-09 06:43:00, n, 1,   -0.3,  -1.9,	0.000,  3.00, 62, +0.00 -> 0.000
2016-12-09 06:46:00, n, 0,    0.3,  -1.9,	0.000,  0.00, 70, +0.00 -> 0.000
2016-12-09 06:49:00, n, 0,    0.3,  -1.9,	0.000,  0.00, 68, +0.00 -> 0.000
2016-12-09 06:52:00, n, 0,    0.3,  -1.8,	0.000,  0.00, 67, +0.00 -> 0.000
2016-12-09 06:55:00, n, 0,    0.3,  -1.8,	0.000,  0.00, 65, +0.00 -> 0.000
2016-12-09 06:58:00, n, 0,    0.3,  -1.8,	0.000,  0.00, 64, +0.00 -> 0.000
2016-12-09 07:01:00, n, 1,   -0.3,  -1.8,	0.000,  3.00, 62, +0.00 -> 0.000
2016-12-09 07:04:00, n, 0,    0.3,  -1.8,	0.000,  0.00, 70, +0.00 -> 0.000
2016-12-09 07:07:00, n, 0,    0.3,  -1.8,	0.000,  0.00, 68, +0.00 -> 0.000
2016-12-09 07:10:00, n, 0,    0.3,  -1.8,	0.000,  0.00, 66, +0.00 -> 0.000
2016-12-09 07:13:00, n, 0,    0.3,  -1.8,	0.000,  0.00, 65, +0.00 -> 0.000
2016-12-09 07:16:00, n, 0,    0.3,  -1.8,	0.000,  0.00, 64, +0.00 -> 0.000
2016-12-09 07:19:00, n, 1,   -0.3,  -1.8,	0.000,  3.00, 62, +0.00 -> 0.000
2016-12-09 07:22:00, n, 0,    0.3,  -1.9,	0.000,  0.00, 70, +0.00 -> 0.000
2016-12-09 07:25:00, n, 0,    0.3,  -1.9,	0.000,  0.00, 68, +0.00 -> 0.000
2016-12-09 07:28:00, n, 0,    0.3,  -1.9,	0.000,  0.00, 66, +0.00 -> 0.000
2016-12-09 07:31:00, n, 0,    0.3,  -1.8,	0.000,  0.00, 65, +0.00 -> 0.000
2016-12-09 07:34:00, n, 1,   -0.3,  -1.8,	0.000,  3.00, 63, +0.00 -> 0.000
2016-12-09 07:37:00, n, 0,    0.3,  -1.8,	0.000,  0.00, 70, +0.00 -> 0.000
2016-12-09 07:40:00, n, 0,    0.3,  -2.0,	0.000,  0.00, 68, +0.00 -> 0.000
2016-12-09 07:43:00, n, 0,    0.3,  -2.0,	0.000,  0.00, 66, +0.00 -> 0.000
2016-12-09 07:46:00, n, 0,    0.3,  -2.0,	0.000,  0.00, 65, +0.00 -> 0.000
2016-12-09 07:49:00, n, 0,    0.3,  -2.0,	0.000,  0.00, 63, +0.00 -> 0.000
2016-12-09 07:52:00, n, 1,   -0.3,  -2.0,	0.000,  3.00, 62, +0.00 -> 0.000
2016-12-09 07:55:00, n, 0,    0.3,  -2.0,	0.000,  0.00, 70, +0.00 -> 0.000
2016-12-09 07:58:00, n, 0,    0.3,  -2.0,	0.000,  0.00, 68, +0.00 -> 0.000
2016-12-09 08:01:00, n, 0,    0.3,  -1.8,	0.000,  0.00, 67, +0.00 -> 0.000
2016-12-09 08:04:00, n, 0,    0.3,  -1.8,	0.000,  0.00, 65, +0.00 -> 0.000
2016-12-09 08:07:00, r, 0,    0.3,  -1.8,	0.000,  0.00, 64, +0.00 -> 0.000
2016-12-09 08:10:00, n, 1,   -0.3,  -1.8,	0.000,  3.00, 62, +0.00 -> 0.000
